edge/0/lane/_id,edge/0/lane/_sampledSeconds,edge/0/lane/_departed,edge/0/lane/_arrived,edge/0/lane/_entered,edge/0/lane/_left,edge/0/lane/_laneChangedFrom,edge/0/lane/_laneChangedTo,edge/0/_id,_begin,_end,_id,edge/1/lane/_id,edge/1/lane/_sampledSeconds,edge/1/lane/_traveltime,edge/1/lane/_overlapTraveltime,edge/1/lane/_density,edge/1/lane/_laneDensity,edge/1/lane/_occupancy,edge/1/lane/_waitingTime,edge/1/lane/_timeLoss,edge/1/lane/_speed,edge/1/lane/_departed,edge/1/lane/_arrived,edge/1/lane/_entered,edge/1/lane/_left,edge/1/lane/_laneChangedFrom,edge/1/lane/_laneChangedTo,edge/1/_id,edge/0/lane/_traveltime,edge/0/lane/_overlapTraveltime,edge/0/lane/_density,edge/0/lane/_laneDensity,edge/0/lane/_occupancy,edge/0/lane/_waitingTime,edge/0/lane/_timeLoss,edge/0/lane/_speed,edge/2/lane/_id,edge/2/lane/_sampledSeconds,edge/2/lane/_traveltime,edge/2/lane/_overlapTraveltime,edge/2/lane/_density,edge/2/lane/_laneDensity,edge/2/lane/_occupancy,edge/2/lane/_waitingTime,edge/2/lane/_timeLoss,edge/2/lane/_speed,edge/2/lane/_departed,edge/2/lane/_arrived,edge/2/lane/_entered,edge/2/lane/_left,edge/2/lane/_laneChangedFrom,edge/2/lane/_laneChangedTo,edge/2/_id,edge/3/lane/_id,edge/3/lane/_sampledSeconds,edge/3/lane/_departed,edge/3/lane/_arrived,edge/3/lane/_entered,edge/3/lane/_left,edge/3/lane/_laneChangedFrom,edge/3/lane/_laneChangedTo,edge/3/_id,edge/3/lane/_traveltime,edge/3/lane/_overlapTraveltime,edge/3/lane/_density,edge/3/lane/_laneDensity,edge/3/lane/_occupancy,edge/3/lane/_waitingTime,edge/3/lane/_timeLoss,edge/3/lane/_speed,edge/4/lane/_id,edge/4/lane/_sampledSeconds,edge/4/lane/_traveltime,edge/4/lane/_overlapTraveltime,edge/4/lane/_density,edge/4/lane/_laneDensity,edge/4/lane/_occupancy,edge/4/lane/_waitingTime,edge/4/lane/_timeLoss,edge/4/lane/_speed,edge/4/lane/_departed,edge/4/lane/_arrived,edge/4/lane/_entered,edge/4/lane/_left,edge/4/lane/_laneChangedFrom,edge/4/lane/_laneChangedTo,edge/4/_id,edge/5/lane/_id,edge/5/lane/_sampledSeconds,edge/5/lane/_traveltime,edge/5/lane/_overlapTraveltime,edge/5/lane/_density,edge/5/lane/_laneDensity,edge/5/lane/_occupancy,edge/5/lane/_waitingTime,edge/5/lane/_timeLoss,edge/5/lane/_speed,edge/5/lane/_departed,edge/5/lane/_arrived,edge/5/lane/_entered,edge/5/lane/_left,edge/5/lane/_laneChangedFrom,edge/5/lane/_laneChangedTo,edge/5/_id,edge/6/lane/_id,edge/6/lane/_sampledSeconds,edge/6/lane/_traveltime,edge/6/lane/_overlapTraveltime,edge/6/lane/_density,edge/6/lane/_laneDensity,edge/6/lane/_occupancy,edge/6/lane/_waitingTime,edge/6/lane/_timeLoss,edge/6/lane/_speed,edge/6/lane/_departed,edge/6/lane/_arrived,edge/6/lane/_entered,edge/6/lane/_left,edge/6/lane/_laneChangedFrom,edge/6/lane/_laneChangedTo,edge/6/_id,edge/7/lane/_id,edge/7/lane/_sampledSeconds,edge/7/lane/_traveltime,edge/7/lane/_overlapTraveltime,edge/7/lane/_density,edge/7/lane/_laneDensity,edge/7/lane/_occupancy,edge/7/lane/_waitingTime,edge/7/lane/_timeLoss,edge/7/lane/_speed,edge/7/lane/_departed,edge/7/lane/_arrived,edge/7/lane/_entered,edge/7/lane/_left,edge/7/lane/_laneChangedFrom,edge/7/lane/_laneChangedTo,edge/7/_id
-gneE1_0,2.00,0,0,0,0,0,0,-gneE1,10.00,11.00,int_10,-gneE3_0,2.00,21.48,21.92,8.24,8.24,4.12,0.00,0.22,11.31,0,0,0,0,0,0,-gneE3,36.49,37.24,8.24,8.24,4.12,0.00,0.95,6.65,-gneE5_0,3.00,26.94,27.83,12.36,12.36,9.93,0.00,1.11,9.01,0,0,0,0,0,0,-gneE5,gneE0_0,0.00,1,0,0,0,0,0,gneE0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,2.00,1,0,0,0,0,0,-gneE1,11.00,12.00,int_11,-gneE3_0,2.00,20.39,20.81,8.24,8.24,4.12,0.00,0.12,11.91,1,0,0,0,0,0,-gneE3,28.30,28.88,8.24,8.24,4.12,0.00,0.64,8.58,-gneE5_0,3.00,25.17,26.00,12.36,12.36,9.93,0.00,0.98,9.65,1,0,0,0,0,0,-gneE5,gneE0_0,1.00,0,0,0,0,0,0,gneE0,110.28,112.55,4.12,4.12,2.06,0.00,0.85,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,3.00,0,0,0,0,0,0,-gneE1,12.00,13.00,int_12,-gneE3_0,3.00,28.41,29.00,12.36,12.36,6.18,0.00,1.01,8.54,0,0,0,0,0,0,-gneE3,32.91,33.58,12.36,12.36,6.18,0.00,1.26,7.38,-gneE5_0,4.00,32.95,33.98,16.47,16.47,12.60,0.00,1.94,7.37,0,0,0,0,0,0,-gneE5,gneE0_0,1.00,0,0,0,0,0,0,gneE0,57.60,58.79,4.12,4.12,2.06,0.00,0.71,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,3.00,0,0,0,0,0,0,-gneE1,13.00,14.00,int_13,-gneE3_0,3.00,25.39,25.91,12.36,12.36,6.18,0.00,0.81,9.56,0,0,0,0,0,0,-gneE3,26.31,26.86,12.36,12.36,6.18,0.00,0.83,9.23,-gneE5_0,4.00,31.34,32.32,16.47,16.47,12.60,0.00,1.83,7.75,0,0,0,0,0,0,-gneE5,gneE0_0,1.00,1,0,0,0,0,0,gneE0,35.68,36.42,4.12,4.12,2.06,0.00,0.53,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,3.00,1,0,0,0,0,0,-gneE1,14.00,15.00,int_14,-gneE3_0,3.00,23.60,24.09,12.36,12.36,6.18,0.00,0.66,10.29,0,0,0,0,0,0,-gneE3,24.00,24.50,12.36,12.36,6.18,0.00,0.63,10.12,-gneE5_0,4.00,27.00,27.85,16.47,16.47,12.60,0.00,1.48,8.99,1,0,0,0,0,0,-gneE5,gneE0_0,2.00,0,0,0,0,0,0,gneE0,44.48,45.39,8.24,8.24,4.12,0.00,1.24,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,4.00,0,0,0,0,0,0,-gneE1,15.00,16.00,int_15,-gneE3_0,3.00,22.78,23.25,12.36,12.36,6.18,0.00,0.60,10.66,1,0,0,0,0,0,-gneE3,28.95,29.55,16.47,16.47,8.24,0.00,1.40,8.39,-gneE5_0,5.00,27.75,28.56,20.59,20.59,14.66,0.00,1.93,8.75,0,0,0,0,0,0,-gneE5,gneE0_0,2.00,0,0,0,0,0,0,gneE0,32.93,33.61,8.24,8.24,4.12,0.00,0.97,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,4.00,0,0,0,0,0,0,-gneE1,16.00,17.00,int_16,-gneE3_0,4.00,28.41,29.06,16.47,16.47,9.10,0.00,1.46,8.55,0,0,0,0,0,0,-gneE3,26.35,26.90,16.47,16.47,8.24,0.00,1.15,9.21,-gneE5_0,5.00,27.01,27.80,20.59,20.59,14.66,0.00,1.85,8.99,0,0,0,0,0,0,-gneE5,gneE0_0,2.00,1,0,0,0,0,0,gneE0,26.12,26.65,8.24,8.24,4.12,0.00,0.70,9.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,4.00,0,0,0,0,0,0,-gneE1,17.00,18.00,int_17,-gneE3_0,4.00,25.93,26.52,16.47,16.47,9.10,0.00,1.23,9.37,0,0,0,0,0,0,-gneE3,23.16,23.64,16.47,16.47,8.24,0.00,0.78,10.48,-gneE5_0,5.00,24.18,24.89,20.59,20.59,14.66,0.00,1.48,10.04,1,0,0,0,0,0,-gneE5,gneE0_0,3.00,0,0,0,0,0,0,gneE0,31.46,32.11,12.36,12.36,6.18,0.00,1.36,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,4.00,0,0,0,0,0,0,-gneE1,18.00,19.00,int_18,-gneE3_0,4.00,24.61,25.17,16.47,16.47,9.10,0.00,1.11,9.86,0,0,0,0,0,0,-gneE3,22.24,22.70,16.47,16.47,8.24,0.00,0.65,10.92,-gneE5_0,6.00,24.59,25.28,24.71,24.71,16.72,0.00,1.84,9.87,0,0,0,0,0,0,-gneE5,gneE0_0,3.00,0,0,0,0,0,0,gneE0,28.63,29.21,12.36,12.36,6.18,0.00,1.17,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-gneE1_0,4.00,0,0,0,0,0,0,-gneE1,19.00,20.00,int_19,-gneE3_0,4.00,23.21,23.73,16.47,16.47,9.10,0.00,0.95,10.46,0,0,0,0,0,0,-gneE3,20.87,21.30,16.47,16.47,8.24,0.00,0.42,11.64,-gneE5_0,6.00,24.24,24.91,24.71,24.71,16.72,0.00,1.79,10.02,0,0,0,0,0,0,-gneE5,gneE0_0,3.00,1,0,0,0,0,0,gneE0,24.12,24.62,12.36,12.36,6.18,0.00,0.81,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
